jahr	bundesland	jahr_quartal	tote100kWeighted	baseline	excess
2020	Hamburg	2020/4	255.6575570668046	242.45550460032325	0.054451444557814144
2020	Hamburg	2020/5	24.237804713470283	0	NULL
2020	Hessen	2020/1	280.92431871204803	294.520748494696	-0.04616459061760414
2020	Hessen	2020/2	260.20338927030866	249.51781755878122	0.042824884475475056
2020	Hessen	2020/3	253.25933546199568	245.16533482906374	0.03301445793131941
2020	Hessen	2020/4	307.6041043966188	263.6483900474668	0.16672096628861754
2020	Hessen	2020/5	29.57181724775844	0	NULL
2020	Mecklenburg-Vorpomme	2020/1	349.95598389345747	367.0278135172064	-0.046513721835276134
2020	Mecklenburg-Vorpomme	2020/2	325.37152946347527	315.4152108028166	0.03156575307613463
2020	Mecklenburg-Vorpomme	2020/3	321.584530169968	304.20330872975615	0.05713685861205642
2020	Mecklenburg-Vorpomme	2020/4	351.5701147398705	326.1578459970869	0.07791401940706533
2020	Mecklenburg-Vorpomme	2020/5	28.06104394533311	0	NULL
2020	Niedersachsen	2020/1	318.9011299043246	333.1690398223987	-0.04282483728283959
2020	Niedersachsen	2020/2	291.67527236165637	279.56725068991597	0.04330987138822673
2020	Niedersachsen	2020/3	283.05395905076085	271.4245148677829	0.04284596101661253
2020	Niedersachsen	2020/4	309.3177280065612	292.44506599410477	0.05769515021599503
2020	Niedersachsen	2020/5	26.925985775332826	0	NULL
2020	Nordrhein-Westfalen	2020/1	307.8674764596049	323.1085975161711	-0.04717027393801665
2020	Nordrhein-Westfalen	2020/2	284.16390664285706	272.90199145324874	0.041267251769167235
2020	Nordrhein-Westfalen	2020/3	277.6648106587406	266.49126648654703	0.0419283690587946
2020	Nordrhein-Westfalen	2020/4	315.3037811349932	284.1220975774741	0.10974747766324833
2020	Nordrhein-Westfalen	2020/5	28.47887124370383	0	NULL
2020	Rheinland-Pfalz	2020/1	307.5841226471558	326.3411736851613	-0.05747681429895646
2020	Rheinland-Pfalz	2020/2	282.25711016835635	275.4232569544801	0.024812186485056564
2020	Rheinland-Pfalz	2020/3	274.4247681590166	266.70404433177185	0.02894865672768132
2020	Rheinland-Pfalz	2020/4	323.5904041366478	286.6807004666157	0.12874847734764172
2020	Rheinland-Pfalz	2020/5	30.084977250828437	0	NULL
2020	Saarland	2020/1	366.2635125727776	375.450160424748	-0.024468355111574636
2020	Saarland	2020/2	326.73063066633716	324.3517037537435	0.007334405477332773
2020	Saarland	2020/3	319.6167444620935	314.827026781043	0.01521380718175025
2020	Saarland	2020/4	377.9506113368923	331.6101092400465	0.1397439366460953
2020	Saarland	2020/5	32.21574181064664	0	NULL
2020	Sachsen	2020/1	362.83495372498646	378.8480090990212	-0.04226775643381919
2020	Sachsen	2020/2	329.5340011106891	318.36703041402575	0.035075776163571604
2020	Sachsen	2020/3	321.96672320351723	310.44532604941475	0.037112483865415324
2020	Sachsen	2020/4	489.58069639169025	331.522881215675	0.4767629148142851
2020	Sachsen	2020/5	58.19655745548185	0	NULL
2020	Sachsen-Anhalt	2020/1	399.37010589338024	414.7797898840917	-0.03715148222389919
2020	Sachsen-Anhalt	2020/2	359.15336655838263	351.3552873248247	0.02219428457425976
2020	Sachsen-Anhalt	2020/3	357.50250838727675	336.3579198894216	0.06286335848671687
2020	Sachsen-Anhalt	2020/4	415.3284015474044	359.8929425759281	0.15403319268974225
2020	Sachsen-Anhalt	2020/5	45.948885762448846	0	NULL
2020	Schleswig-Holstein	2020/1	321.55279769828655	338.60749549941943	-0.05036715969910388
2020	Schleswig-Holstein	2020/2	287.5767595654227	285.382629974601	0.007688378199531609
2020	Schleswig-Holstein	2020/3	286.06518658478984	276.14225706723045	0.03593412186510636
2020	Schleswig-Holstein	2020/4	304.75372525443373	298.43361926347	0.021177593886914092
2020	Schleswig-Holstein	2020/5	27.65491475930777	0	NULL
2020	Thüringen	2020/1	361.56335353076093	386.35653248515666	-0.06417176071779829
2020	Thüringen	2020/2	332.840149473856	322.60671548640454	0.03172108172646748
2020	Thüringen	2020/3	316.7098772448552	310.8667803348396	0.018796144456869612
2020	Thüringen	2020/4	395.1445050718386	334.87421192260535	0.1799789025353873
2020	Thüringen	2020/5	44.947805363268344	0	NULL
2021	Baden-Württemberg	2021/1	272.1596232672431	278.59419833270596	-0.023096586734295488
2021	Baden-Württemberg	2021/2	250.8771694390448	233.4606950612277	0.07460131296726158
2021	Baden-Württemberg	2021/3	239.4478702820479	228.98255271476143	0.04570355882233046
2021	Baden-Württemberg	2021/4	127.15433057405974	110.89939929440908	0.14657366390685356
2021	Bayern	2021/1	293.6488784060313	286.8358740642446	0.023752274237011095
2021	Bayern	2021/2	254.45612134929934	241.1263394995106	0.05528131799062863
2021	Bayern	2021/3	247.59168118130472	233.27803473117052	0.06135874072597214
2021	Bayern	2021/4	134.71654085791653	114.17329210232988	0.1799304231078349
2021	Berlin	2021/1	280.45177954241274	270.56162942579346	0.036554149003348746
2021	Berlin	2021/2	241.53350028711102	226.8543482461596	0.06470738671944298
2021	Berlin	2021/3	228.76088128887733	220.84949195346874	0.03582253807980429
2021	Berlin	2021/4	116.29087510998644	106.81703021718072	0.08869227007662994
2021	Brandenburg	2021/1	403.9001671624384	357.5473681556003	0.1296410018229135
2021	Brandenburg	2021/2	338.9474258130253	302.5153244662684	0.12043059772603093
2021	Brandenburg	2021/3	324.5266529465195	289.8333766679607	0.11970076282244113
2021	Brandenburg	2021/4	158.78653739859533	140.82291736113459	0.12756176603978298
2021	Bremen	2021/1	304.9417023216151	321.02556387231834	-0.050101497702221276
2021	Bremen	2021/2	287.4450472703748	271.14608771827506	0.06011135801094292
2021	Bremen	2021/3	279.3583579609781	266.9953011871319	0.046304398312916994
2021	Bremen	2021/4	126.00532251187273	130.92649196622196	-0.03758727038694998
2021	Hamburg	2021/1	269.0990122419808	267.5140347659059	0.005924838588232895
2021	Hamburg	2021/2	239.78692324551224	228.00748363479622	0.05166251310234782
2021	Hamburg	2021/3	238.11348906707667	221.13343463743433	0.07678646360050645
2021	Hamburg	2021/4	111.1484184967379	106.8824936610404	0.03991228768694488
2021	Hessen	2021/1	310.4484651098638	294.520748494696	0.05408011726363848
2021	Hessen	2021/2	268.5140074436443	249.51781755878122	0.07613159681627923
2021	Hessen	2021/3	255.3727431427866	245.16533482906374	0.04163479441675455
2021	Hessen	2021/4	128.77485597841718	117.01536332859166	0.10049528809993613
2021	Mecklenburg-Vorpomme	2021/1	393.7237626135012	367.0278135172064	0.07273549336893304
2021	Mecklenburg-Vorpomme	2021/2	352.3150982074456	315.4152108028166	0.1169882939719642
2021	Mecklenburg-Vorpomme	2021/3	340.76785446002975	304.20330872975615	0.12019772527443573
2021	Mecklenburg-Vorpomme	2021/4	170.91162385288064	145.53868620684278	0.17433809736318007
2021	Niedersachsen	2021/1	326.0855576634042	333.1690398223987	-0.021260925573308054
2021	Niedersachsen	2021/2	295.16128165693146	279.56725068991597	0.05577917631100404
2021	Niedersachsen	2021/3	290.47578529231447	271.4245148677829	0.07018994004212153
2021	Niedersachsen	2021/4	142.73896125169475	130.08983700790498	0.09723376195037536
2021	Nordrhein-Westfalen	2021/1	318.96893655264523	323.1085975161711	-0.012811980230017395
2021	Nordrhein-Westfalen	2021/2	291.2208649432068	272.90199145324874	0.0671261993817156
2021	Nordrhein-Westfalen	2021/3	281.10124252673694	266.49126648654703	0.05482347032534918
2021	Nordrhein-Westfalen	2021/4	138.71246493138014	126.19900068508889	0.09915660328814146
2021	Rheinland-Pfalz	2021/1	318.24684370036914	326.3411736851613	-0.024803275337243247
2021	Rheinland-Pfalz	2021/2	287.0394747597289	275.4232569544801	0.04217587844140769
2021	Rheinland-Pfalz	2021/3	288.69866247510305	266.70404433177185	0.08246825877139896
2021	Rheinland-Pfalz	2021/4	143.7637355733018	127.68548707641926	0.12592072024019285
2021	Saarland	2021/1	381.2026736016893	375.450160424748	0.015321642612786457
2021	Saarland	2021/2	328.6615426360605	324.3517037537435	0.013287548153559703
2021	Saarland	2021/3	328.45828874451075	314.827026781043	0.04329762315148389
2021	Saarland	2021/4	171.44465752227413	149.473431512597	0.146990845044094
2021	Sachsen	2021/1	442.6980821264101	378.8480090990212	0.168537438481563
2021	Sachsen	2021/2	352.4823259692463	318.36703041402575	0.10715712462705307
2021	Sachsen	2021/3	309.7654119199664	310.44532604941475	-0.0021901251924150156
2021	Sachsen	2021/4	177.27642576019716	146.52333283346059	0.2098852949358636
2021	Sachsen-Anhalt	2021/1	485.67330250508564	414.7797898840917	0.17091843515520555
2021	Sachsen-Anhalt	2021/2	394.9219602656782	351.3552873248247	0.12399606470295277
2021	Sachsen-Anhalt	2021/3	361.72136815788065	336.3579198894216	0.07540612772488697
2021	Sachsen-Anhalt	2021/4	173.93625119457928	159.53310508490094	0.09028311773918785
2021	Schleswig-Holstein	2021/1	336.3249881908361	338.60749549941943	-0.006740864685280568
2021	Schleswig-Holstein	2021/2	300.5281916949371	285.382629974601	0.05307107065936023
2021	Schleswig-Holstein	2021/3	289.397517928458	276.14225706723045	0.048001566301387966
2021	Schleswig-Holstein	2021/4	145.11100614076526	133.4162041501233	0.08765653366575088
2021	Thüringen	2021/1	455.7509372772949	386.35653248515666	0.17961235014139243
2021	Thüringen	2021/2	371.60940026987544	322.60671548640454	0.15189604689284897
2021	Thüringen	2021/3	328.5953409925399	310.8667803348396	0.05702944727192971
2021	Thüringen	2021/4	183.56438454757654	148.01810115780867	0.24014821911456896
