jahr	bundesland	jahr_quartal	tote100k	baseline	excess
2021	Mecklenburg-Vorpomme	2021/3	5125.30916033917	4848.818570859099	0.057022259224494665
2021	Mecklenburg-Vorpomme	2021/4	1825.045963170086	1543.8361778421906	0.1821500165392811
2021	Niedersachsen	2021/1	5902.723405281597	6394.160715227181	-0.07685720328787882
2021	Niedersachsen	2021/2	5197.553298352786	5204.353475039531	-0.001306632364492355
2021	Niedersachsen	2021/3	5215.438006222546	5019.6571154226785	0.039002841488582796
2021	Niedersachsen	2021/4	1679.5101660492833	1597.5713592571549	0.05128960676299843
2021	Nordrhein-Westfalen	2021/1	5877.6199698308465	6219.258720017546	-0.054932390750538795
2021	Nordrhein-Westfalen	2021/2	5189.608700955203	5099.128857895401	0.017744176619444385
2021	Nordrhein-Westfalen	2021/3	5112.727575474539	4991.458698771582	0.024295277998153342
2021	Nordrhein-Westfalen	2021/4	1675.4669891562166	1578.3374463822183	0.061539148676116984
2021	Rheinland-Pfalz	2021/1	5848.093179569306	6274.383737982142	-0.06794142280974547
2021	Rheinland-Pfalz	2021/2	5161.62241473587	5108.208495921343	0.010456487603663023
2021	Rheinland-Pfalz	2021/3	5195.665784063238	4970.98518783342	0.045198403885758465
2021	Rheinland-Pfalz	2021/4	1736.3544995760035	1590.317871236638	0.09182857778351372
2021	Saarland	2021/1	6354.163136385555	6452.474764730952	-0.015236267002974757
2021	Saarland	2021/2	5228.027063861198	5378.653850461865	-0.028004551099292674
2021	Saarland	2021/3	5353.606827195879	5214.844223398725	0.0266091560653976
2021	Saarland	2021/4	1855.2190350736182	1669.1090284085653	0.11150260617935914
2021	Sachsen	2021/1	6813.672985115122	6094.8513158314645	0.11793916406402039
2021	Sachsen	2021/2	5139.918554568799	4943.860367245473	0.039656902250368775
2021	Sachsen	2021/3	4591.884066120555	4809.481665000155	-0.04524346156948966
2021	Sachsen	2021/4	1677.565858642312	1512.206694803292	0.1093495779428022
2021	Sachsen-Anhalt	2021/1	7303.9600106650005	6514.548330080714	0.12117673253557792
2021	Sachsen-Anhalt	2021/2	5633.278445701857	5333.1168082504355	0.05628259200831032
2021	Sachsen-Anhalt	2021/3	5166.670656828016	5092.6081600218	0.014543136734458395
2021	Sachsen-Anhalt	2021/4	1636.5338938548975	1632.3717656986862	0.0025497427998149025
2021	Schleswig-Holstein	2021/1	5905.309811966634	6389.6961595961375	-0.07580741486464038
2021	Schleswig-Holstein	2021/2	5098.763033523056	5223.208414425043	-0.023825467227825636
2021	Schleswig-Holstein	2021/3	4996.486240162887	5004.838918997929	-0.0016689206126766498
2021	Schleswig-Holstein	2021/4	1697.8907857231586	1629.2231813432643	0.04214745110812812
2021	Thüringen	2021/1	7368.704072995044	6534.645402048553	0.12763640865425097
2021	Thüringen	2021/2	5644.39270423544	5227.927635816317	0.07966159775547355
2021	Thüringen	2021/3	5006.890368356501	5043.433741425703	-0.0072457327572369445
2021	Thüringen	2021/4	1799.141261790693	1588.0300111504528	0.13293908122510878
