Jahr,Altersgruppe,Bundesland,Einwohner
2000,0-65,Mecklenburg-Vorpommern,25257
2000,0-65,Niedersachsen,84901
2000,0-65,Nordrhein-Westfalen,189501
2000,0-65,Rheinland-Pfalz,43001
2000,0-65,Saarland,11198
2000,0-65,Sachsen,57875
2000,0-65,Sachsen-Anhalt,33093
2000,0-65,Schleswig-Holstein,27966
2000,0-65,Thüringen,32943
2000,0-65,Baden-Württemberg,116478
2000,0-65,Bayern,134655
2000,0-65,Berlin,41638
2000,0-65,Brandenburg,32838
2000,0-65,Bremen,7387
2000,0-65,Hamburg,20240
2000,0-65,Hessen,65259
2000,0-65,Mecklenburg-Vorpommern,24111
2000,0-65,Niedersachsen,84922
2000,0-65,Nordrhein-Westfalen,189782
2000,0-65,Rheinland-Pfalz,42824
2000,0-65,Saarland,10855
2000,0-65,Sachsen,57264
2000,0-65,Sachsen-Anhalt,32318
2000,0-65,Schleswig-Holstein,28685
2000,0-65,Thüringen,31084
2000,0-65,Baden-Württemberg,117899
2000,0-65,Bayern,136517
2000,0-65,Berlin,42953
2000,0-65,Brandenburg,30499
2000,0-65,Bremen,7501
2000,0-65,Hamburg,21611
2000,0-65,Hessen,66166
2000,0-65,Mecklenburg-Vorpommern,22802
2000,0-65,Niedersachsen,85163
2000,0-65,Nordrhein-Westfalen,193017
2000,0-65,Rheinland-Pfalz,42307
2000,0-65,Saarland,11012
2000,0-65,Sachsen,55290
2000,0-65,Sachsen-Anhalt,30243
2000,0-65,Schleswig-Holstein,28725
2000,0-65,Thüringen,29885
2000,0-65,Baden-Württemberg,121170
2000,0-65,Bayern,138575
2000,0-65,Berlin,43550
2000,0-65,Brandenburg,26659
2000,0-65,Bremen,7825
2000,0-65,Hamburg,23340
2000,0-65,Hessen,68124
2000,0-65,Mecklenburg-Vorpommern,19211
2000,0-65,Niedersachsen,86406
2000,0-65,Nordrhein-Westfalen,197584
2000,0-65,Rheinland-Pfalz,42491
2000,0-65,Saarland,10695
2000,0-65,Sachsen,48330
2000,0-65,Sachsen-Anhalt,26170
2000,0-65,Schleswig-Holstein,29544
2000,0-65,Thüringen,26390
2000,0-65,Baden-Württemberg,120323
2000,0-65,Bayern,137515
2000,0-65,Berlin,43747
2000,0-65,Brandenburg,24596
2000,0-65,Bremen,7729
2000,0-65,Hamburg,23712
2000,0-65,Hessen,68037
2000,0-65,Mecklenburg-Vorpommern,17745
2000,0-65,Niedersachsen,84393
2000,0-65,Nordrhein-Westfalen,195098
2000,0-65,Rheinland-Pfalz,41644
2000,0-65,Saarland,10655
2000,0-65,Sachsen,45591
2000,0-65,Sachsen-Anhalt,24388
2000,0-65,Schleswig-Holstein,29078
2000,0-65,Thüringen,24563
2000,0-65,Baden-Württemberg,124716
2000,0-65,Bayern,142497
2000,0-65,Berlin,43682
2000,0-65,Brandenburg,24068
2000,0-65,Bremen,7905
2000,0-65,Hamburg,24252
2000,0-65,Hessen,69979
2000,0-65,Mecklenburg-Vorpommern,16827
2000,0-65,Niedersachsen,87184
2000,0-65,Nordrhein-Westfalen,200027
2000,0-65,Rheinland-Pfalz,42733
2000,0-65,Saarland,10872
2000,0-65,Sachsen,44774
2000,0-65,Sachsen-Anhalt,24248
2000,0-65,Schleswig-Holstein,29569
2000,0-65,Thüringen,24912
2000,0-65,Baden-Württemberg,126011
2000,0-65,Bayern,144707
2000,0-65,Berlin,44266
2000,0-65,Brandenburg,24166
2000,0-65,Bremen,8163
2000,0-65,Hamburg,24387
2000,0-65,Hessen,72186
2000,0-65,Mecklenburg-Vorpommern,17016
2000,0-65,Niedersachsen,89471
2000,0-65,Nordrhein-Westfalen,205033
2000,0-65,Rheinland-Pfalz,43771
2000,0-65,Saarland,10757
2000,0-65,Sachsen,45135
2000,0-65,Sachsen-Anhalt,25186
2000,0-65,Schleswig-Holstein,30375
2000,0-65,Thüringen,25344
2000,0-65,Baden-Württemberg,138793
2000,0-65,Bayern,159566
2000,0-65,Berlin,47176
2000,0-65,Brandenburg,27203
2000,0-65,Bremen,8885
2000,0-65,Hamburg,26883
2000,0-65,Hessen,79257
2000,0-65,Mecklenburg-Vorpommern,18433
2000,0-65,Niedersachsen,99133
2000,0-65,Nordrhein-Westfalen,226619
2000,0-65,Rheinland-Pfalz,48295
2000,0-65,Saarland,12056
2000,0-65,Sachsen,49480
2000,0-65,Sachsen-Anhalt,28887
2000,0-65,Schleswig-Holstein,33974
2000,0-65,Thüringen,28246
2000,0-65,Baden-Württemberg,151333
2000,0-65,Bayern,174857
2000,0-65,Berlin,53642
2000,0-65,Brandenburg,31882
2000,0-65,Bremen,9538
2000,0-65,Hamburg,28868
2000,0-65,Hessen,87704
2000,0-65,Mecklenburg-Vorpommern,21456
