jahr	woche	tote100kWeighted	baseline	excess
2021	36	2.8656607489689754	2.6025851630959287	0.10108241205836377
2021	37	2.738265162088027	2.641232648446302	0.03673758678502037
2021	38	2.7462723183181637	2.6531002163029234	0.03511819924581472
2021	39	2.7609330267644308	2.679795889942696	0.03027735699059897
2021	40	2.74740112443182	2.7045799646943474	0.015832831824705185
2021	41	2.8722065931699903	2.823493153224641	0.017252898201546962
2021	42	3.0091630560364813	2.8094473514654927	0.07108718533800285
2021	43	3.0886608209126245	2.8140382931424286	0.09759018860526081
2021	44	3.1091439017210405	2.7964787267355984	0.11180674181291717
2021	45	3.201115658762314	2.8686988519483663	0.11587720564958448
2021	46	3.4032318557309167	2.876500958003988	0.18311514768012738
2021	47	3.54897188628596	2.9109254517276866	0.21919023524961156
2021	48	3.6826185723027405	2.928645766015332	0.2574475940506973
2021	49	3.6586183709839246	3.0046648972127885	0.21764605909223422
2021	50	3.4970933880431887	3.008884070170852	0.16225594156727174
2021	51	3.423319421195698	3.0725847075292694	0.11414972964194114
2021	52	3.3751530372819745	3.0196567962242753	0.11772736607094059
2022	01	3.1584737996611345	3.1561742701752555	0.0007285812787996004
2022	02	3.028130463978225	3.2129464206883847	-0.05752226539481542
2022	03	3.0174285314673206	3.2189716298913558	-0.06261102041176969
2022	04	3.0927308622082634	3.258716348666877	-0.050935849794511046
2022	05	3.1499733213884453	3.3699981266282375	-0.06528929600917377
2022	06	3.1170200559165	3.369513783082063	-0.07493476608800498
2022	07	3.2234552570499555	3.470200242642281	-0.0711039618291448
2022	08	3.0910614355466617	3.5494983787026113	-0.1291554169757121
2022	09	3.166915855997841	3.633985438954733	-0.12852819330262322
2022	10	3.232357901724681	3.533759244298838	-0.08529198559874174
2022	11	3.2586959486701197	3.381230040675248	-0.036239501758554615
2022	12	3.2369305542729094	3.2297374993945405	0.002227132972793422
2022	13	3.175919112361136	3.1213197979959366	0.017492380755171233
2022	14	3.1701581475609526	3.0425389181144826	0.041944978480524364
2022	15	3.0761456419545605	2.942857849734547	0.045291957350925616
2022	16	2.9719815918340395	2.8692159802872594	0.0358166175892034
2022	17	2.9414960526731804	2.8632861828066782	0.02731472331900764
2022	18	2.9161026228636864	2.7795727059177824	0.04911903065360668
2022	19	2.8963636225317515	2.825111012963718	0.02522117157204562
2022	20	2.8003557640314853	2.754296402885837	0.016722732200277646
2022	21	2.594974788660846	2.694441398529924	-0.036915484568841084
2022	22	2.725064143402461	2.71970456263658	0.0019706481503583007
2022	23	2.696872736102574	2.6836117067910252	0.00494148586324572
2022	24	2.7882484613184055	2.6103026599050336	0.06817056280356626
2022	25	2.8741107223275084	2.662318903438084	0.07955163395937248
2022	26	2.788625984852107	2.6882491558637738	0.03733910927466866
2022	27	2.7367743245824396	2.7777003098973165	-0.014733765615049355
