jahr	woche	altersgruppe	tote100kWeighted	baseline	excess
2020	05	70-75	2.29345924491453	2.8189544759695977	-0.1864149405514327
2020	05	75-80	3.094315673457942	2.991361714061976	0.03441708801446297
2020	05	80-85	3.3223818858438214	3.628615710458754	-0.0843941185979753
2020	05	85	7.132496541450846	8.266399029587447	-0.13717006450790592
2020	06	0-30	0.1860690984391815	0.19914525244658346	-0.06566138959757206
2020	06	30-35	0.054161060001024885	0.06327774902353053	-0.14407416766856707
2020	06	35-40	0.08582582644518601	0.08731130038780521	-0.0170135358884963
2020	06	40-45	0.17924355351201457	0.18614091858754236	-0.037054534424057595
2020	06	45-50	0.3195410739953057	0.3606795576075484	-0.11405826236763061
2020	06	50-55	0.509480217070969	0.5456767167960281	-0.06633323103391497
2020	06	55-60	0.7443817694134262	0.778176015001151	-0.04342750860507416
2020	06	60-65	0.9588115772048682	1.0793188288484423	-0.11165120854247201
2020	06	65-70	1.3840023008370512	1.4218513417531415	-0.02661954861569593
2020	06	70-75	2.328909219802322	2.836140604472633	-0.17884564110481693
2020	06	75-80	2.9864708912730804	2.945225455089923	0.014004169396226507
2020	06	80-85	3.055306669378126	3.6753569417109206	-0.16870477675133078
2020	06	85	6.960720126134707	8.25918952661732	-0.15721511127671395
2020	07	0-30	0.1885335898092369	0.19550258242989432	-0.03564655020941443
2020	07	30-35	0.04354124431454942	0.05940023422220837	-0.2669853093227307
2020	07	35-40	0.08025272083186223	0.0859559008756022	-0.06635007004340254
2020	07	40-45	0.199505868256851	0.19634820053079569	0.016081979450379702
2020	07	45-50	0.34372256067603146	0.3550864675348417	-0.03200321019751384
2020	07	50-55	0.48675692100442347	0.5387661130968175	-0.09653389630139542
2020	07	55-60	0.7314963326592657	0.7688531981502822	-0.04858777407818571
2020	07	60-65	1.0314029899900947	1.1302148625505128	-0.08742751120564207
2020	07	65-70	1.4114710487925957	1.455341732067627	-0.030144592371925905
2020	07	70-75	2.322744006778358	2.8920705745934208	-0.19685777132015558
2020	07	75-80	3.1061667484233113	3.06241454587325	0.014286832136759298
2020	07	80-85	3.287729721682133	3.752486345536795	-0.12385298201216466
2020	07	85	7.109844706464102	8.528673395232081	-0.1663598338237655
2020	08	0-30	0.18976583549426457	0.188159332076887	0.008537994898499601
2020	08	30-35	0.04778917058913961	0.05632394105724854	-0.15153006533108282
2020	08	35-40	0.1003159010398278	0.08388543656126073	0.19586790213064065
2020	08	40-45	0.15586395957566485	0.19323142924814146	-0.19338194525534735
2020	08	45-50	0.3419953116274082	0.38472183413263117	-0.1110582210691301
2020	08	50-55	0.4903448098570359	0.5388741815773029	-0.09005696205043623
2020	08	55-60	0.66409558656058	0.7891060127055528	-0.15842031885723218
2020	08	60-65	1.0263619196577873	1.1450272611421475	-0.10363538538461803
2020	08	65-70	1.45161768041993	1.5104938014148719	-0.03897806196873699
2020	08	70-75	2.302707064450476	2.947974569880123	-0.21888503110659008
